City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
0,Busselton,AU,62.64,overcast clouds,-33.65,115.3333,Observatory Guest House
1,Thompson,CA,33.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
2,Norman Wells,CA,14.77,overcast clouds,65.282,-126.8329,Heritage Hotel
3,Shetpe,KZ,51.93,scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
4,Bluff,NZ,58.1,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
5,Guanica,PR,78.06,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
6,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Ushuaia,AR,47.86,broken clouds,-54.8,-68.3,Albatross Hotel
8,Port Alfred,ZA,62.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
9,Banyo,CM,67.48,overcast clouds,6.75,11.8167,Motel JOMBA
10,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
11,Yellowknife,CA,27.41,overcast clouds,62.456,-114.3525,The Explorer Hotel
13,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
14,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Rikitea,PF,79.09,clear sky,-23.1203,-134.9692,People ThankYou
16,Morant Bay,JM,76.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
17,Mataura,NZ,61.2,clear sky,-46.1927,168.8643,Ellie's Villa
18,Rezekne,LV,32.52,clear sky,56.5,27.3167,Hotel Latgale Hotel
19,Hobart,AU,78.03,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
20,Swellendam,ZA,57.42,clear sky,-34.0226,20.4417,De Kloof Heritage Estate boutique Hotel & SPA
21,La Ronge,CA,36.95,broken clouds,55.1001,-105.2842,Northland Motor Hotel
25,Fortuna,US,51.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
26,Afsin,TR,50.99,overcast clouds,38.2477,36.914,Afsin Ogretmenevi ASO
27,Hasaki,JP,73.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
29,Coihaique,CL,51.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
31,Kavaratti,IN,83.05,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
32,Carutapera,BR,75.18,overcast clouds,-1.195,-46.02,Lidera
33,Pacific Grove,US,73.45,broken clouds,36.6177,-121.9166,Lovers Point Inn
34,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
36,Rawson,AR,61.09,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
37,Butaritari,KI,80.71,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Moose Factory,CA,26.58,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
40,Hithadhoo,MV,83.14,scattered clouds,-0.6,73.0833,Scoop Guest House
41,Meulaboh,ID,78.66,broken clouds,4.1363,96.1285,Kost Pria
42,Mabaruma,GY,73.65,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
43,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
46,Hella,NO,38.05,scattered clouds,67.2,14.4333,Djupvatnet rasteplass
47,Arraial Do Cabo,BR,76.53,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Atuona,PF,79.52,few clouds,-9.8,-139.0333,Villa Enata
49,Cape Town,ZA,62.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
50,Punta Arenas,CL,46.51,broken clouds,-53.15,-70.9167,Hotel Hain
51,Acarau,BR,76.86,overcast clouds,-2.8856,-40.12,castelo pizzaria
52,Narsaq,GL,32.22,overcast clouds,60.9167,-46.05,Sleep In Narsaq
53,Boundiali,CI,81.88,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
54,Sakakah,SA,62.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
55,Lebu,CL,50.94,clear sky,-37.6167,-73.65,Hostal Las Lilas
56,Mahuva,IN,80.49,clear sky,21.0914,71.7622,Hotel Blue Diamond.
57,Omboue,GA,74.62,overcast clouds,-1.5746,9.2618,Hotel Olako
58,Upernavik,GL,-6.75,scattered clouds,72.7868,-56.1549,Café de Upernavik
59,Atar,MR,75.42,clear sky,20.5169,-13.0499,Oumou Elghoura
60,Mar Del Plata,AR,67.08,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
61,Soyo,AO,78.44,overcast clouds,-6.1349,12.3689,Hotel Mpampa
62,Sao Joao Da Barra,BR,77.16,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
64,Nikolskoye,RU,33.69,scattered clouds,59.7035,30.7861,Tourist House - Sablino
65,Talnakh,RU,-3.8,overcast clouds,69.4865,88.3972,Talnakh Hotel
66,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Hoi An,VN,76.96,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
68,Guerrero Negro,MX,70.66,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
71,Ternate,ID,83.44,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
73,Barrow,US,-7.58,clear sky,71.2906,-156.7887,King Eider Inn
74,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
76,Bandarbeyla,SO,78.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
77,Raudeberg,NO,38.07,overcast clouds,61.9875,5.1352,Nordre Silda.
79,Tasiilaq,GL,24.96,overcast clouds,65.6145,-37.6368,The Red House
80,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
81,Ribeira Grande,PT,56.62,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
82,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
83,Bacolod,PH,75.47,heavy intensity rain,10.6667,122.95,Planta Hotel & Residences
84,Constitucion,CL,53.01,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
85,Pell City,US,51.49,scattered clouds,33.5862,-86.2861,Hampton Inn Pell City
86,Port Augusta,AU,83.32,clear sky,-32.5,137.7667,Majestic Oasis Apartments
87,Husavik,IS,21.15,overcast clouds,66.0449,-17.3389,Bjarnabúð
88,Mata,PT,48.97,broken clouds,40.683,-7.4592,Hostel EntryFik
89,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
90,Veraval,IN,78.76,clear sky,20.9,70.3667,Lords Inn Somnath
91,Dingle,PH,74.86,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
92,Thunder Bay,CA,35.58,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
93,Bolobo,CD,72.66,light rain,-2.1667,16.2333,Hotel de Stephen
94,Hornepayne,CA,29.91,overcast clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
95,Bilibino,RU,-4.05,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
96,Kamaishi,JP,60.08,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
97,Yar-Sale,RU,11.34,overcast clouds,66.8333,70.8333,Yalemd
99,Riyadh,SA,75.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
100,San Felipe,VE,71.04,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
101,Vila Franca Do Campo,PT,57.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
102,Umm Lajj,SA,74.89,clear sky,25.0213,37.2685,Moon light Furnished Units
103,Wah,PK,74.01,clear sky,33.798,72.6957,UW Boys Hostel 27 Area Wah
104,Boa Esperanca,BR,69.3,overcast clouds,-21.09,-45.5658,Hotel do Lago
105,Knysna,ZA,58.91,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
106,Aguimes,ES,59.63,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
107,Port Lincoln,AU,70.9,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
108,Constantine,DZ,49.41,clear sky,36.365,6.6147,Grand Hotel Cirta
109,Touros,BR,79.93,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
110,Coari,BR,74.39,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
111,Sinnamary,GF,77.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
112,Vardo,NO,35.35,few clouds,70.3705,31.1107,Vardø Hotel AS
113,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
114,Jamestown,US,35.24,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
115,Severo-Kurilsk,RU,31.23,overcast clouds,50.6789,156.125,Kak Doma
116,Ust-Nera,RU,5.05,scattered clouds,64.5667,143.2,Hotel Ust-Nera
117,Matagami,CA,28.51,overcast clouds,49.7502,-77.6328,Hôtel Matagami
118,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
119,Bonavista,CA,33.4,snow,48.6499,-53.1147,Sweet Sharons bnb
121,Marawi,PH,73.87,overcast clouds,7.9986,124.2928,Derogongan Residence
122,Toyooka,JP,73.45,clear sky,35.5333,134.8333,O Hotel Toyooka
123,Deputatskiy,RU,-2.29,clear sky,69.3,139.9,Baza Otdykha
124,Mao,ES,46.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
125,Faanui,PF,82.33,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Cabo San Lucas,MX,78.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
127,Broome,US,43.7,overcast clouds,42.2506,-75.833,Chenango Valley State Park
128,Redlands,US,84.07,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
129,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
130,Mwinilunga,ZM,62.2,moderate rain,-11.7358,24.4293,Kwakuwahi Lodge
131,Diego De Almagro,CL,60.48,clear sky,-26.3667,-70.05,hotel luna del desierto
132,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
133,Cockburn Town,TC,78.75,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
134,Ridgecrest,US,84.47,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
135,Hildburghausen,DE,33.37,few clouds,50.4255,10.7318,Pension Thüringer Hof
136,Paita,PE,71.56,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
137,Tuktoyaktuk,CA,5.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
138,Kodiak,US,42.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
139,Ifakara,TZ,71.69,light rain,-8.1333,36.6833,Tanzanian Training Centre for International Health
140,Khatanga,RU,4.59,overcast clouds,71.9667,102.5,"""Khatanga"""
141,San Patricio,US,74.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
142,Qaanaaq,GL,-1.48,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
143,Lubango,AO,62.37,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
144,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
145,Nador,MA,53.85,clear sky,35.174,-2.9287,Hôtel La Giralda
146,Lorengau,PG,83.79,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
147,Kousseri,CM,88.07,overcast clouds,12.0769,15.0306,Le Pilotis
148,Petropavlovsk-Kamchatskiy,RU,36.19,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
149,Svetogorsk,RU,30.85,clear sky,61.1121,28.8632,Lesogorskaya Resort
150,Tommot,RU,24.39,clear sky,58.9564,126.2925,Gostinitsa Tommot
151,Mosquera,CO,59.09,scattered clouds,4.7059,-74.2302,Hotel SJ
152,Washington,US,45.9,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
153,Kruisfontein,ZA,63.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
155,Tucurui,BR,74.3,heavy intensity rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
157,Port Elizabeth,ZA,66.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
158,Wajima,JP,74.08,clear sky,37.4,136.9,Wajiima Onsen Yashio
160,Castro,BR,64.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
161,Kantunilkin,MX,67.66,overcast clouds,21.0917,-87.45,Posada Paraiso
163,Impfondo,CG,71.74,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
164,Visby,SE,37.81,scattered clouds,57.6409,18.296,Best Western Solhem Hotel Visby
165,Ahipara,NZ,69.48,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
166,Buchanan,LR,76.55,heavy intensity rain,5.8808,-10.0467,Kamaneahn Hotel Inc
167,Tiksi,RU,-8.25,broken clouds,71.6872,128.8694,Arktika
168,Broken Hill,AU,78.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
169,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
170,Bredasdorp,ZA,60.76,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
171,Cuauhtemoc,MX,68.97,broken clouds,28.4167,-106.8667,Motel Tarahumara Inn
