City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
0,Ushuaia,-54.8,-68.3,39.31,73,100,6.87,AR,overcast clouds
1,Nikolskoye,59.7035,30.7861,37.29,94,100,5.55,RU,overcast clouds
2,Syamzha,60.0158,41.0614,39.67,94,100,11.54,RU,overcast clouds
3,Lodwar,3.1191,35.5973,86.29,38,96,12.71,KE,overcast clouds
4,Mataura,-46.1927,168.8643,56.66,60,66,6.42,NZ,broken clouds
5,Padang,-0.9492,100.3543,76.95,82,61,3.0,ID,moderate rain
6,Yulara,-25.2406,130.9889,67.84,32,0,8.05,AU,clear sky
7,Vostok,46.4856,135.8833,36.81,85,81,1.41,RU,broken clouds
8,Mananjary,-21.2167,48.3333,75.34,76,51,3.36,MG,broken clouds
9,Egvekinot,66.3167,-179.1667,-6.54,94,99,4.9,RU,overcast clouds
10,Albany,42.6001,-73.9662,54.01,60,77,4.25,US,broken clouds
11,Arraial Do Cabo,-22.9661,-42.0278,76.44,81,19,15.86,BR,few clouds
12,Hailun,47.45,126.9333,40.3,63,85,2.33,CN,overcast clouds
13,Vaini,-21.2,-175.2,80.29,75,86,5.35,TO,light rain
14,Busselton,-33.65,115.3333,56.41,76,53,9.51,AU,broken clouds
15,Jamestown,42.097,-79.2353,43.52,73,100,4.61,US,light rain
16,Acapulco,16.8634,-99.8901,82.22,69,40,10.36,MX,scattered clouds
17,Correntina,-13.3433,-44.6367,77.2,42,6,0.47,BR,clear sky
18,Punta Arenas,-53.15,-70.9167,42.12,87,0,10.36,CL,clear sky
19,Kodiak,57.79,-152.4072,31.95,40,2,12.33,US,clear sky
20,San Cristobal,7.7669,-72.225,75.38,81,98,2.55,VE,overcast clouds
21,Bluff,-46.6,168.3333,56.95,70,81,18.32,NZ,broken clouds
22,Saint-Philippe,-21.3585,55.7679,76.59,86,72,11.39,RE,light rain
23,Namibe,-15.1961,12.1522,71.73,76,4,7.2,AO,clear sky
24,Kavieng,-2.5744,150.7967,79.61,82,100,6.85,PG,light rain
25,Gat,31.61,34.7642,59.4,100,2,4.85,IL,clear sky
26,Qaanaaq,77.484,-69.3632,-3.71,70,0,6.73,GL,clear sky
27,Lamu,-2.2717,40.902,82.62,76,0,9.93,KE,clear sky
28,San Joaquin,37.9333,-121.3011,91.65,14,0,13.8,US,clear sky
29,Bosaso,11.2842,49.1816,80.35,69,88,2.42,SO,overcast clouds
30,Lorengau,-2.0226,147.2712,77.97,89,100,5.26,PG,overcast clouds
31,Canakkale,40.0833,26.8333,52.38,55,2,3.42,TR,clear sky
32,Wajir,1.7471,40.0573,80.69,58,72,16.96,KE,broken clouds
33,Pochutla,15.7432,-96.4661,85.82,53,45,7.36,MX,scattered clouds
34,Port Alfred,-33.5906,26.891,57.18,92,99,1.01,ZA,overcast clouds
35,East London,-33.0153,27.9116,62.24,78,100,7.81,ZA,light rain
36,Meulaboh,4.1363,96.1285,75.88,87,83,4.09,ID,broken clouds
37,Rikitea,-23.1203,-134.9692,79.12,73,18,15.99,PF,light rain
38,Rio Verde De Mato Grosso,-18.9181,-54.8442,80.74,65,65,3.31,BR,broken clouds
39,Caravelas,-17.7125,-39.2481,76.98,82,2,5.44,BR,clear sky
40,Fasa,28.9383,53.6482,64.45,21,82,1.03,IR,broken clouds
41,New Norfolk,-42.7826,147.0587,62.91,53,1,3.98,AU,clear sky
42,Ribeira Grande,38.5167,-28.7,59.74,82,96,29.26,PT,overcast clouds
43,Kaitangata,-46.2817,169.8464,58.55,60,13,11.32,NZ,few clouds
44,Georgetown,5.4112,100.3354,78.73,89,20,0.0,MY,few clouds
45,Opuwo,-18.0607,13.84,70.95,47,2,2.19,NA,clear sky
46,Boa Vista,2.8197,-60.6733,87.78,55,20,9.22,BR,few clouds
47,Berlevag,70.8578,29.0864,33.6,86,100,31.7,NO,overcast clouds
48,La Ronge,55.1001,-105.2842,41.43,71,89,14.61,CA,overcast clouds
49,Koping,59.514,15.9926,28.33,87,84,10.51,SE,broken clouds
50,Kapaa,22.0752,-159.319,79.12,76,40,17.27,US,scattered clouds
51,Walvis Bay,-22.9575,14.5053,61.27,76,0,4.27,NA,clear sky
52,Bodden Town,19.2833,-81.25,82.99,67,20,4.61,KY,few clouds
53,Paita,-5.0892,-81.1144,72.77,78,46,15.37,PE,scattered clouds
54,Valparaiso,-33.0393,-71.6273,57.47,83,100,11.5,CL,fog
55,Victoria,22.2855,114.1577,71.65,77,0,11.01,HK,clear sky
56,Mahibadhoo,3.7833,72.9667,83.03,74,24,9.22,MV,few clouds
57,Santiago Del Estero,-27.7951,-64.2615,71.62,73,0,6.76,AR,clear sky
