City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
0,Busselton,-33.65,115.3333,62.64,77,100,16.58,AU,overcast clouds
1,Thompson,55.7435,-97.8558,33.96,93,100,10.36,CA,overcast clouds
2,Norman Wells,65.282,-126.8329,14.77,87,100,13.82,CA,overcast clouds
3,Shetpe,44.1667,52.1167,51.93,67,34,3.8,KZ,scattered clouds
4,Bluff,-46.6,168.3333,58.1,73,7,23.85,NZ,clear sky
5,Guanica,17.9716,-66.908,78.06,78,51,9.24,PR,broken clouds
6,Vaini,-21.2,-175.2,84.36,74,20,8.05,TO,few clouds
7,Ushuaia,-54.8,-68.3,47.86,71,75,16.11,AR,broken clouds
8,Port Alfred,-33.5906,26.891,62.19,96,100,7.0,ZA,overcast clouds
9,Banyo,6.75,11.8167,67.48,84,100,5.08,CM,overcast clouds
10,Pilar,-9.5972,-35.9567,75.13,85,72,2.15,BR,broken clouds
11,Yellowknife,62.456,-114.3525,27.41,69,100,21.0,CA,overcast clouds
12,Dikson,73.5069,80.5464,7.25,97,97,6.2,RU,overcast clouds
13,Acapulco,16.8634,-99.8901,80.42,78,40,8.05,MX,scattered clouds
14,Kapaa,22.0752,-159.319,82.38,76,20,12.66,US,few clouds
15,Rikitea,-23.1203,-134.9692,79.09,71,7,17.58,PF,clear sky
16,Morant Bay,17.8815,-76.4093,76.71,79,95,5.41,JM,overcast clouds
17,Mataura,-46.1927,168.8643,61.2,51,7,4.79,NZ,clear sky
18,Rezekne,56.5,27.3167,32.52,75,0,11.23,LV,clear sky
19,Hobart,-42.8794,147.3294,78.03,48,75,10.36,AU,broken clouds
20,Swellendam,-34.0226,20.4417,57.42,86,0,3.96,ZA,clear sky
21,La Ronge,55.1001,-105.2842,36.95,86,81,11.48,CA,broken clouds
22,Minuri,16.535,121.8574,78.67,86,97,1.48,PH,overcast clouds
23,Albany,42.6001,-73.9662,42.64,86,11,4.97,US,few clouds
24,Beringovskiy,63.05,179.3167,34.09,83,77,24.4,RU,broken clouds
25,Fortuna,40.5982,-124.1573,51.93,71,40,26.46,US,scattered clouds
26,Afsin,38.2477,36.914,50.99,72,97,4.94,TR,overcast clouds
27,Hasaki,35.7333,140.8333,73.29,66,0,4.65,JP,clear sky
28,Sinegorye,62.0788,150.477,0.59,85,100,6.17,RU,overcast clouds
29,Coihaique,-45.5752,-72.0662,51.75,66,75,4.61,CL,broken clouds
30,Ostrovnoy,68.0531,39.5131,29.53,86,13,13.62,RU,few clouds
31,Kavaratti,10.5669,72.642,83.05,75,100,6.31,IN,light rain
32,Carutapera,-1.195,-46.02,75.18,95,100,3.87,BR,overcast clouds
33,Pacific Grove,36.6177,-121.9166,73.45,68,75,11.99,US,broken clouds
34,Avarua,-21.2078,-159.775,84.25,79,40,6.91,CK,scattered clouds
35,Belaya Gora,68.5333,146.4167,-1.17,87,100,5.59,RU,overcast clouds
36,Rawson,-43.3002,-65.1023,61.09,94,40,11.5,AR,scattered clouds
37,Butaritari,3.0707,172.7902,80.71,80,95,13.53,KI,light rain
38,Chokurdakh,70.6333,147.9167,-5.75,94,98,4.27,RU,overcast clouds
39,Moose Factory,51.2585,-80.6094,26.58,93,100,5.75,CA,overcast clouds
40,Hithadhoo,-0.6,73.0833,83.14,74,26,10.6,MV,scattered clouds
41,Meulaboh,4.1363,96.1285,78.66,86,51,2.42,ID,broken clouds
42,Mabaruma,8.2,-59.7833,73.65,92,33,3.65,GY,scattered clouds
43,Yulara,-25.2406,130.9889,84.04,17,0,9.22,AU,clear sky
44,Kurkino,53.4257,38.6582,47.77,70,100,15.84,RU,overcast clouds
45,Baykit,61.67,96.37,24.75,89,100,1.3,RU,overcast clouds
46,Hella,67.2,14.4333,38.05,87,40,9.22,NO,scattered clouds
47,Arraial Do Cabo,-22.9661,-42.0278,76.53,90,96,10.78,BR,overcast clouds
48,Atuona,-9.8,-139.0333,79.52,73,13,19.95,PF,few clouds
49,Cape Town,-33.9258,18.4232,62.11,74,0,9.22,ZA,clear sky
50,Punta Arenas,-53.15,-70.9167,46.51,87,75,16.11,CL,broken clouds
51,Acarau,-2.8856,-40.12,76.86,85,100,7.9,BR,overcast clouds
52,Narsaq,60.9167,-46.05,32.22,60,100,5.7,GL,overcast clouds
53,Boundiali,9.5217,-6.4869,81.88,56,98,6.08,CI,overcast clouds
54,Sakakah,29.9697,40.2064,62.17,25,0,7.65,SA,clear sky
55,Lebu,-37.6167,-73.65,50.94,82,2,2.42,CL,clear sky
56,Mahuva,21.0914,71.7622,80.49,46,0,6.06,IN,clear sky
57,Omboue,-1.5746,9.2618,74.62,91,100,1.03,GA,overcast clouds
58,Upernavik,72.7868,-56.1549,-6.75,99,27,3.87,GL,scattered clouds
59,Atar,20.5169,-13.0499,75.42,9,0,6.4,MR,clear sky
60,Mar Del Plata,-38.0023,-57.5575,67.08,95,75,20.0,AR,broken clouds
61,Soyo,-6.1349,12.3689,78.44,88,100,5.39,AO,overcast clouds
62,Sao Joao Da Barra,-21.6403,-41.0511,77.16,90,100,7.47,BR,moderate rain
63,Puro,12.4841,123.3827,80.17,78,100,5.55,PH,moderate rain
64,Nikolskoye,59.7035,30.7861,33.69,99,50,5.26,RU,scattered clouds
65,Talnakh,69.4865,88.3972,-3.8,96,99,2.68,RU,overcast clouds
66,Saint-Philippe,-21.3585,55.7679,76.59,84,59,11.9,RE,light rain
67,Hoi An,15.8794,108.335,76.96,75,29,4.56,VN,scattered clouds
68,Guerrero Negro,27.9769,-114.0611,70.66,63,0,15.03,MX,clear sky
69,Okhotsk,59.3833,143.3,24.69,87,100,5.26,RU,overcast clouds
