City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,72.1,90,100,1.01,US,2022-04-05 18:21:30
1,Vila Franca Do Campo,37.7167,-25.4333,61.21,58,93,2.68,PT,2022-04-05 18:26:15
2,Puerto Ayora,-0.7393,-90.3518,84.16,86,66,7.0,EC,2022-04-05 18:26:16
3,Esperance,-33.8667,121.9,60.64,72,94,6.73,AU,2022-04-05 18:26:16
4,Albany,42.6001,-73.9662,59.4,41,59,1.99,US,2022-04-05 18:26:47
5,Jieshi,22.8134,115.8257,70.95,72,46,6.49,CN,2022-04-05 18:26:48
6,Atuona,-9.8,-139.0333,79.0,75,52,23.87,PF,2022-04-05 18:26:48
7,Rikitea,-23.1203,-134.9692,78.85,69,13,19.91,PF,2022-04-05 18:26:48
8,Mananara,-16.1667,49.7667,75.9,95,90,4.09,MG,2022-04-05 18:26:49
9,Bereda,43.2686,-7.5406,48.58,64,0,6.6,ES,2022-04-05 18:26:49
10,Bredasdorp,-34.5322,20.0403,61.34,67,30,14.38,ZA,2022-04-05 18:29:36
11,Mayo,38.8876,-76.5119,56.39,92,100,7.0,US,2022-04-05 18:29:37
12,Aljezur,37.3191,-8.8033,55.47,84,100,7.43,PT,2022-04-05 18:29:37
13,Malanje,-9.5402,16.341,67.59,94,100,4.36,AO,2022-04-05 18:29:37
14,Bluff,-46.6,168.3333,53.26,72,96,31.94,NZ,2022-04-05 18:29:38
15,Punta Arenas,-53.15,-70.9167,46.51,49,40,14.97,CL,2022-04-05 18:29:13
16,Nioro,13.35,-15.75,99.25,15,0,7.74,GM,2022-04-05 18:29:38
17,Cidreira,-30.1811,-50.2056,71.62,69,85,10.02,BR,2022-04-05 18:29:38
18,Jiwani,25.05,61.7417,80.37,70,9,9.28,PK,2022-04-05 18:29:39
19,Rhyl,53.3196,-3.4886,53.83,86,100,18.28,GB,2022-04-05 18:29:39
20,Kapaa,22.0752,-159.319,75.18,99,100,11.5,US,2022-04-05 18:29:39
21,Mataura,-46.1927,168.8643,48.51,85,98,9.69,NZ,2022-04-05 18:29:40
22,Kirakira,-10.4544,161.9205,79.92,87,99,12.8,SB,2022-04-05 18:29:40
23,Castro,-24.7911,-50.0119,77.65,63,24,4.65,BR,2022-04-05 18:29:01
24,Darhan,49.4867,105.9228,35.94,41,82,5.41,MN,2022-04-05 18:26:54
25,Thompson,55.7435,-97.8558,35.76,75,100,11.5,CA,2022-04-05 18:26:55
26,Monrovia,6.3005,-10.7969,85.77,78,28,11.99,LR,2022-04-05 18:29:40
27,Souillac,-20.5167,57.5167,79.18,94,75,9.22,MU,2022-04-05 18:26:55
28,Kawalu,-7.3817,108.2082,71.8,97,95,1.68,ID,2022-04-05 18:26:56
29,Butaritari,3.0707,172.7902,80.87,82,25,17.11,KI,2022-04-05 18:26:56
30,Sinnamary,5.3833,-52.95,80.2,84,60,12.77,GF,2022-04-05 18:29:41
31,Bethel,41.3712,-73.414,59.38,46,75,9.22,US,2022-04-05 18:26:57
32,Semnan,35.5729,53.3971,69.08,18,13,3.15,IR,2022-04-05 18:26:57
33,Santiago Del Estero,-27.7951,-64.2615,81.77,51,82,5.35,AR,2022-04-05 18:29:41
34,Cape Town,-33.9258,18.4232,60.89,86,40,10.36,ZA,2022-04-05 18:25:34
35,Ribeira Grande,38.5167,-28.7,64.8,72,20,5.75,PT,2022-04-05 18:26:58
36,Yellowknife,62.456,-114.3525,34.29,74,75,10.0,CA,2022-04-05 18:29:07
37,Tual,-5.6667,132.75,82.38,67,94,5.01,ID,2022-04-05 18:29:42
38,Belyy Yar,53.6039,91.3903,39.09,87,97,2.24,RU,2022-04-05 18:29:42
39,Sao Filipe,14.8961,-24.4956,70.79,73,9,14.58,CV,2022-04-05 18:29:43
40,Zyryanovsk,49.7386,84.2719,33.51,98,98,0.6,KZ,2022-04-05 18:26:59
41,Eagle Pass,28.7091,-100.4995,92.26,40,0,0.0,US,2022-04-05 18:26:45
42,Jinxiang,27.4327,120.6062,58.01,83,47,5.59,CN,2022-04-05 18:29:43
43,Griffith,41.5284,-87.4237,60.31,60,0,5.99,US,2022-04-05 18:27:00
44,Busselton,-33.65,115.3333,56.52,71,54,7.9,AU,2022-04-05 18:29:44
45,Hobart,-42.8794,147.3294,53.46,72,100,6.91,AU,2022-04-05 18:30:44
46,Fort Nelson,58.8053,-122.7002,33.39,60,20,2.3,CA,2022-04-05 18:30:45
47,Port Alfred,-33.5906,26.891,60.19,76,6,6.62,ZA,2022-04-05 18:28:01
48,Barrow,71.2906,-156.7887,-14.78,84,100,6.91,US,2022-04-05 18:30:45
49,Ninghai,29.2892,121.4247,54.41,82,96,2.13,CN,2022-04-05 18:30:45
50,Jamestown,42.097,-79.2353,63.05,33,0,11.5,US,2022-04-05 18:24:22
51,Port Lincoln,-34.7333,135.8667,60.62,79,36,15.14,AU,2022-04-05 18:28:02
52,Okha,53.5739,142.9478,28.98,98,100,12.59,RU,2022-04-05 18:28:03
53,Tautira,-17.7333,-149.15,81.82,80,40,23.06,PF,2022-04-05 18:30:46
54,Saint George,37.1041,-113.5841,79.39,18,0,12.66,US,2022-04-05 18:28:03
55,Lavrentiya,65.5833,-171.0,-7.58,92,68,8.55,RU,2022-04-05 18:28:04
56,Fairbanks,64.8378,-147.7164,18.3,74,100,1.95,US,2022-04-05 18:27:48
57,Saskylakh,71.9167,114.0833,-25.44,100,67,2.15,RU,2022-04-05 18:30:47
58,Constitucion,-35.3333,-72.4167,65.28,60,8,12.57,CL,2022-04-05 18:30:47
59,Tuktoyaktuk,69.4541,-133.0374,-13.0,70,75,5.75,CA,2022-04-05 18:28:50
60,Upernavik,72.7868,-56.1549,26.33,94,100,7.09,GL,2022-04-05 18:30:41
61,Kavieng,-2.5744,150.7967,79.9,85,100,18.14,PG,2022-04-05 18:30:48
62,Ginir,7.1333,40.7,63.01,49,13,4.03,ET,2022-04-05 18:30:48
63,Nur,52.6683,22.3221,34.54,91,100,7.4,PL,2022-04-05 18:30:48
64,Quba,41.3626,48.5152,48.47,67,100,3.33,AZ,2022-04-05 18:30:48
65,Akdepe,42.0551,59.3788,62.69,47,100,13.82,TM,2022-04-05 18:30:49
66,Adrar,20.5022,-10.0711,90.12,15,2,6.82,MR,2022-04-05 18:28:07
67,Faanui,-16.4833,-151.75,82.94,76,65,21.14,PF,2022-04-05 18:28:08
68,New Norfolk,-42.7826,147.0587,53.1,68,82,1.25,AU,2022-04-05 18:30:49
69,Ushuaia,-54.8,-68.3,40.66,75,75,29.93,AR,2022-04-05 18:28:04
70,Arraial Do Cabo,-22.9661,-42.0278,78.76,89,40,17.27,BR,2022-04-05 18:30:50
71,Katsuura,35.1333,140.3,56.59,82,100,2.17,JP,2022-04-05 18:30:50
72,Harrison,30.4091,-89.0436,66.27,88,100,10.36,US,2022-04-05 18:28:09
73,Biak,-0.9131,122.8766,76.37,82,100,3.18,ID,2022-04-05 18:30:50
74,Dom Pedrito,-30.9828,-54.6731,71.51,72,100,4.94,BR,2022-04-05 18:30:51
75,Springbok,-29.6643,17.8865,52.93,80,13,6.29,ZA,2022-04-05 18:28:10
76,Shulan,44.4167,126.95,28.27,31,0,13.38,CN,2022-04-05 18:30:51
77,Clyde River,70.4692,-68.5914,10.63,72,20,3.44,CA,2022-04-05 18:29:43
78,Iskateley,67.6803,53.1512,-4.83,100,36,5.68,RU,2022-04-05 18:28:11
79,Paamiut,61.994,-49.6678,32.31,86,97,1.07,GL,2022-04-05 18:28:12
80,Ileza,61.0533,43.9002,29.05,91,72,8.55,RU,2022-04-05 18:28:12
81,Talara,-4.5772,-81.2719,88.56,48,0,16.11,PE,2022-04-05 18:30:52
82,Vangaindrano,-23.35,47.6,75.4,91,5,4.23,MG,2022-04-05 18:28:13
83,Miri,4.4148,114.0089,77.14,94,40,3.44,MY,2022-04-05 18:28:13
84,Port Blair,11.6667,92.75,81.03,76,97,6.49,IN,2022-04-05 18:28:13
85,Aykhal,66.0,111.5,-9.6,100,100,4.34,RU,2022-04-05 18:30:53
86,Mount Gambier,-37.8333,140.7667,57.11,94,100,11.5,AU,2022-04-05 18:30:53
